IRIS;DISP_TP6020;DISP_Q120;DISP_MED20;DISP_Q320;DISP_EQ20;DISP_D120;DISP_D220;DISP_D320;DISP_D420;DISP_D620;DISP_D720;DISP_D820;DISP_D920;DISP_RD20;DISP_S80S2020;DISP_GI20;DISP_PACT20;DISP_PTSA20;DISP_PCHO20;DISP_PBEN20;DISP_PPEN20;DISP_PPAT20;DISP_PPSOC20;DISP_PPFAM20;DISP_PPMINI20;DISP_PPLOGT20;DISP_PIMPOT20;DISP_NOTE20
441140102;s;18890;23120;28890;0,43;14360;18210;19740;21480;25470;27550;30430;34120;2,4;2,6;0,188;73,9;69,1;2,5;2,3;30,4;4,0;5,0;2,3;1,9;0,8;-13,3;0
441140103;s;22060;29240;38880;0,58;16400;20190;23910;26820;32770;36290;42220;50870;3,1;4,1;0,281;85,6;78,2;2,7;4,7;20,8;13,5;3,2;1,4;1,2;0,6;-23,1;0
441140104;7,6;19530;25150;31260;0,47;14910;18370;20810;22950;27440;29960;33300;39660;2,7;3,1;0,222;84,7;77,8;3,0;3,9;20,8;5,6;5,4;2,2;2,2;1,0;-16,5;0
441140105;s;24490;30050;37280;0,43;19790;23250;25730;27980;32710;35590;39120;45940;2,3;2,8;0,211;70,7;65,8;1,6;3,3;40,7;7,6;1,6;1,0;0,4;0,2;-20,6;0
441140106;10,4;19270;26870;36900;0,66;13040;17690;20770;23920;29980;34460;39530;48090;3,7;4,4;0,285;70,6;64,7;3,0;2,9;34,6;10,2;4,4;1,4;2,0;1,0;-19,8;0
441140107;11,0;19120;24280;31540;0,51;12850;17190;20320;22180;26820;30090;33640;39310;3,1;3,7;0,253;82,6;76,3;3,2;3,1;23,4;7,5;4,8;1,7;2,0;1,1;-18,3;0
441140108;s;11790;16390;21850;0,61;9290;11090;12550;14370;18400;20450;23030;28020;3,0;3,6;0,248;65,1;59,8;4,3;1,0;25,0;3,1;17,0;4,6;8,2;4,2;-10,2;0
441140109;s;22100;28630;36650;0,51;16790;20570;23350;25910;30810;34780;38410;45090;2,7;3,3;0,238;68,8;63,0;2,2;3,6;36,2;11,6;2,7;1,0;1,2;0,5;-19,3;0
441140110;11,8;17540;24890;32640;0,61;12770;16070;18660;21530;28020;30890;34490;42260;3,3;3,7;0,249;68,6;62,8;2,6;3,2;33,4;6,8;7,3;2,2;3,6;1,5;-16,1;0
441140111;s;24450;31820;40630;0,51;18880;22670;25590;29310;35010;38570;43610;52930;2,8;3,4;0,242;75,3;68,5;2,3;4,5;32,1;13,2;2,2;1,1;0,7;0,4;-22,8;0
