numero_uai,adresse_uai,localite_acheminement_uai,code_postal_uai,x_L93_ref,y_L93_ref,y_WGS84_ref,x_WGS84_ref,label,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
0752843H,APT 5 RUE BLOMET,PARIS,75015,649274.9,6860654.6,48.843940309447134,2.3088341376585864,APT,48.84394,2.308834,5 Rue Blomet 75015 Paris,0.85,housenumber,75115_1019_00005,5,Rue Blomet,,75015,Paris,"75, Paris, Île-de-France",75115,,,Paris 15e Arrondissement
0340191Y,APT 4 RUE DE LA MAIRIE,BERLOU,34360,696724.2,6265749.3,43.490823738707086,2.959519439107948,APT,43.490854,2.959367,4 Avenue de la Mairie 34360 Berlou,0.69,housenumber,34030_0040_00004,4,Avenue de la Mairie,,34360,Berlou,"34, Hérault, Occitanie",34030,,,
0501481N,APT 47 RUE BARTHÉLÉMY,BOURGVALLEES,50750,400065.8,6890148.9,49.04105496906519,-1.1041306149543189,APT,49.040853,-1.103677,47 Rue Saint Barthelemy 50750 Bourgvallées,0.79,housenumber,50546_0165_00047,47,Rue Saint Barthelemy,,50750,Bourgvallées,"50, Manche, Normandie",50546,50545,Saint-Romphaire,
0772090D,APT 9 AVENUE JEAN WIENER,CHAMPS SUR MARNE,77420,669215.9,6860796.2,48.84647493451301,2.5805275455857823,APT,48.846489,2.580851,9 Avenue Jean Wiener 77420 Champs-sur-Marne,0.88,housenumber,77083_0244_00009,9,Avenue Jean Wiener,,77420,Champs-sur-Marne,"77, Seine-et-Marne, Île-de-France",77083,,,
0560624Z,APT 6 ESPACE KER AN HOLL,MOUSTOIR AC,56500,264132.2,6766731.2,47.85599965281375,-2.833800110194645,APT,47.838704,-2.871312,Route de Sainte Anne 56500 Moustoir-Ac,0.36,street,56141_0369,,Route de Sainte Anne,,56500,Moustoir-Ac,"56, Morbihan, Bretagne",56141,,,
0911402E,APT AVENUE DES MEUNIERS,ETAMPES,91150,636831.3,6815473.5,48.43646603760289,2.1459514411163925,APT,48.436466,2.145951,Avenue des Meuniers 91150 Étampes,0.86,street,91223_2360,,Avenue des Meuniers,,91150,Étampes,"91, Essonne, Île-de-France",91223,,,
0920904H,APT 2 RUE DE L'ABBAYE,ANTONY,92160,648540.7,6850641.3,48.75382931490658,2.300040078825897,APT,48.753829,2.30004,2 Rue de l'Abbaye 92160 Antony,0.86,housenumber,92002_0011_00002,2,Rue de l'Abbaye,,92160,Antony,"92, Hauts-de-Seine, Île-de-France",92002,,,
0390555S,APT 16 RUE FRANÇOIS BUSSENET,LONS LE SAUNIER,39000,895904.4,6622566.1,46.67456060036615,5.563159865956429,APT,46.674567,5.562995,16 Rue François Bussenet 39000 Lons-le-Saunier,0.89,housenumber,39300_0430_00016,16,Rue François Bussenet,,39000,Lons-le-Saunier,"39, Jura, Bourgogne-Franche-Comté",39300,,,
0420330F,APT 39 RUE WILSON,ROANNE,42300,784380.3,6551448.7,46.05755641141691,4.091460362697138,APT,46.057486,4.09145,39 Rue du Président Wilson 42300 Roanne,0.63,housenumber,42187_2330_00039,39,Rue du Président Wilson,,42300,Roanne,"42, Loire, Auvergne-Rhône-Alpes",42187,,,
0520725F,APT 11 RUE CHARLES GOUNOD,CHAUMONT,52000,859605.3,6778651.6,48.088738123218725,5.143919699993616,APT,48.089084,5.143975,11 Rue Charles Gounod 52000 Chaumont,0.87,housenumber,52121_0365_00011,11,Rue Charles Gounod,,52000,Chaumont,"52, Haute-Marne, Grand Est",52121,52078,Brottes,
0692499S,APT 46 RUE PASTEUR,LYON,69007,843009.8,6518697.2,45.75288063133149,4.839745791171421,APT,45.752881,4.839747,46 Rue Pasteur 69007 Lyon,0.85,housenumber,69387_5235_00046,46,Rue Pasteur,,69007,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69387,,,Lyon 7e Arrondissement
0501916L,APT 21 RUE MARÉCHAL DE LATTRE DE TASSIGNY,ST LO CEDEX,50004,402198.0,6898184.9,49.114205582373465,-1.080684377285271,APT,49.114234,-1.08066,21 Rue Maréchal de Lattre de Tassigny 50000 Saint-Lô,0.7,housenumber,50502_1781_00021,21,Rue Maréchal de Lattre de Tassigny,,50000,Saint-Lô,"50, Manche, Normandie",50502,,,
0071075F,APT 21 AVENUE NOTRE DAME,BOURG ST ANDEOL,7700,831010.8,6365244.4,44.37395775323085,4.644330062913238,APT,44.373735,4.645164,21 Avenue Notre Dame 07700 Bourg-Saint-Andéol,0.74,housenumber,07042_0690_00021,21,Avenue Notre Dame,,07700,Bourg-Saint-Andéol,"07, Ardèche, Auvergne-Rhône-Alpes",07042,,,
0921636D,APT 46 RUE JULES MICHELET,COLOMBES,92700,646472.8,6870475.8,48.93203146116174,2.269417521621129,APT,48.932031,2.269418,46 Rue Jules Michelet 92700 Colombes,0.88,housenumber,92025_4876_00046,46,Rue Jules Michelet,,92700,Colombes,"92, Hauts-de-Seine, Île-de-France",92025,,,
0240732R,APT PLACE DU 14 JUILLET,SARLAT LA CANEDA,24200,559142.7,6422504.0,44.88739791811943,1.2158905130819109,APT,44.887388,1.216072,Place du 14 Juillet 24200 Sarlat-la-Canéda,0.88,street,24520_2055,,Place du 14 Juillet,,24200,Sarlat-la-Canéda,"24, Dordogne, Nouvelle-Aquitaine",24520,,,
0800335E,APT 4 RUE JULES FERRY,DURY,80480,647238.7,6972000.4,49.84459959577601,2.2670078425056457,APT,49.8446,2.267008,4 Rue Jules Ferry 80480 Dury,0.83,housenumber,80261_0148_00004,4,Rue Jules Ferry,,80480,Dury,"80, Somme, Hauts-de-France",80261,,,
0921402Z,APT RUE DES PIERRETTES,CHATILLON,92320,647906.8,6855479.2,48.797288087860615,2.290827103953921,APT,48.797288,2.290827,Rue des Pierrettes 92320 Châtillon,0.87,street,92020_7174,,Rue des Pierrettes,,92320,Châtillon,"92, Hauts-de-Seine, Île-de-France",92020,,,
0591279V,APT RUE BERNARD PALISSY,GRANDE SYNTHE,59760,650536.7,7102465.1,51.01596708461703,2.296679709290688,APT,51.016284,2.29642,Rue Bernard Palissy 59760 Grande-Synthe,0.87,street,59271_0520,,Rue Bernard Palissy,,59760,Grande-Synthe,"59, Nord, Hauts-de-France",59271,,,
0020773E,APT 33 ROUTE NATIONALE,ROMENY SUR MARNE,2310,724415.9,6875062.4,48.9750391222777,3.3335198830934103,APT,48.975133,3.333663,33 Route Nationale 02310 Romeny-sur-Marne,0.81,housenumber,02653_0035_00033,33,Route Nationale,,02310,Romeny-sur-Marne,"02, Aisne, Hauts-de-France",02653,,,
