numero_uai,adresse_uai,localite_acheminement_uai,code_postal_uai,x_L93_ref,y_L93_ref,y_WGS84_ref,x_WGS84_ref,label,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
0601100V,PAVILLON 331 RUE DE COMPIÈGNE,LE PLESSIER SUR ST JUST,60130,660302.1,6934617.3,49.50965340679776,2.4520893719278973,PAVILLON,49.509568,2.45191,331 Rue de Compiègne 60130 Le Plessier-sur-Saint-Just,0.74,housenumber,60498_0008_00331,331,Rue de Compiègne,,60130,Le Plessier-sur-Saint-Just,"60, Oise, Hauts-de-France",60498,,,
0783432G,PAVILLON 2 RUE DE LA CONSTITUANTE,SARTROUVILLE,78500,638487.5,6871752.4,48.94279676396546,2.1602500827567117,PAVILLON,48.942797,2.16025,2 Rue Constituante 78500 Sartrouville,0.7,housenumber,78586_0740_00002,2,Rue Constituante,,78500,Sartrouville,"78, Yvelines, Île-de-France",78586,,,
0881102V,PAVILLON 547 RUE DE NORMANDIE,CONTREXEVILLE CEDEX,88141,915689.7,6790804.8,48.18191745045845,5.902690206774568,PAVILLON,48.181917,5.90269,547 Rue de Normandie 88140 Contrexéville,0.65,housenumber,88114_0510_00547,547,Rue de Normandie,,88140,Contrexéville,"88, Vosges, Grand Est",88114,,,
0573407U,PAVILLON RUE DU 7 SEPTEMBRE,MONDELANGE,57300,929645.6,6911164.2,49.25883921515526,6.154999911719361,PAVILLON,49.259232,6.156752,Rue du 7 Septembre 57300 Mondelange,0.77,street,57474_0580,,Rue du 7 Septembre,,57300,Mondelange,"57, Moselle, Grand Est",57474,,,
0290642R,PAVILLON 69 RUE ALSACE LORRAINE,CROZON,29160,144461.4,6820271.5,48.24532426713808,-4.494830105937281,PAVILLON,48.246112,-4.494878,69 rue Alsace Lorraine 29160 Crozon,0.77,housenumber,29042_0010_00069,69,rue Alsace Lorraine,,29160,Crozon,"29, Finistère, Bretagne",29042,,,
0312104U,PAVILLON RUE DES ECOLES,FLOURENS,31130,583868.9,6278299.0,43.59423170216627,1.56224953613427,PAVILLON,43.594131,1.562308,Rue des Ecoles 31130 Flourens,0.72,locality,31184_q3ng6a,,Rue des Ecoles,,31130,Flourens,"31, Haute-Garonne, Occitanie",31184,,,
0340904Y,PAVILLON 24  BOULEVARD DE STRASBOURG,MONTPELLIER,34000,771383.3,6278623.0,43.60306532586883,3.883860086131327,PAVILLON,43.603158,3.883961,24 Boulevard de Strasbourg 34000 Montpellier,0.82,housenumber,34172_5390_00024,24,Boulevard de Strasbourg,,34000,Montpellier,"34, Hérault, Occitanie",34172,,,
0840457R,PAVILLON HAMEAU LE BOISSET,ST MARTIN DE CASTILLON,84750,902471.3,6308848.0,43.84958322821954,5.518167218138623,PAVILLON,43.849609,5.517999,Route du Boisset 84750 Saint-Martin-de-Castillon,0.56,street,84112_noa23e,,Route du Boisset,,84750,Saint-Martin-de-Castillon,"84, Vaucluse, Provence-Alpes-Côte d'Azur",84112,,,
0762245C,PAVILLON 20 RUE JACQUES PRÉVERT,DIEPPE,76370,563560.8,6981736.2,49.9195251968073,1.1015622706993202,PAVILLON,49.919024,1.101557,20 Rue Jacques Prevert 76370 Dieppe,0.78,housenumber,76217_1604_00020,20,Rue Jacques Prevert,,76370,Dieppe,"76, Seine-Maritime, Normandie",76217,,,
0550423L,PAVILLON 7 ROUTE DE RIGNY-SAINT-MARTIN,RIGNY LA SALLE,55140,899573.7,6838704.3,48.61772808999429,5.708080213640061,PAVILLON,48.619272,5.707624,7 Route de Rigny Saint Martin 55140 Rigny-la-Salle,0.8,housenumber,55433_0012_00007,7,Route de Rigny Saint Martin,,55140,Rigny-la-Salle,"55, Meuse, Grand Est",55433,,,
0950427Y,PAVILLON 9 ALLÉE JULES FERRY,GARGES LES GONESSE,95140,655719.7,6875093.2,48.9742547013272,2.3951384903552912,PAVILLON,48.974255,2.395138,9 Allee Jules Ferry 95140 Garges-lès-Gonesse,0.81,housenumber,95268_0385_00009,9,Allee Jules Ferry,,95140,Garges-lès-Gonesse,"95, Val-d'Oise, Île-de-France",95268,,,
0330135T,PAVILLON 14 AVENUE DE L UNIVERSITE,TALENCE CEDEX,33402,415487.0,6417948.7,44.80232383129405,-0.5991503312832988,PAVILLON,44.801654,-0.598034,14 Avenue de l'Université 33400 Talence,0.65,housenumber,33522_2545_00014,14,Avenue de l'Université,,33400,Talence,"33, Gironde, Nouvelle-Aquitaine",33522,,,
0110265D,PAVILLON 41 AVENUE DES CORBIÈRES,DOUZENS,11700,667092.9,6231880.9,43.18539576672378,2.595499403396626,PAVILLON,43.185116,2.595533,41 Avenue des Corbières 11700 Douzens,0.78,housenumber,11122_0023_00041,41,Avenue des Corbières,,11700,Douzens,"11, Aude, Occitanie",11122,,,
0771902Z,PAVILLON 10  PLACE D'ALNWICK,LAGNY SUR MARNE,77400,678685.0,6862859.1,48.86540971760624,2.7094512036278124,PAVILLON,48.86541,2.709451,10 Place d'Alnwick 77400 Lagny-sur-Marne,0.78,housenumber,77243_0053_00010,10,Place d'Alnwick,,77400,Lagny-sur-Marne,"77, Seine-et-Marne, Île-de-France",77243,,,
0590381U,PAVILLON 6 RUE DES TRANNOIS,DOUAI,59500,706216.5,7032856.6,50.39329688035113,3.0873006096627003,PAVILLON,50.393193,3.087289,6 Rue des Trannois 59500 Douai,0.76,housenumber,59178_4150_00006,6,Rue des Trannois,,59500,Douai,"59, Nord, Hauts-de-France",59178,,,
0811097C,PAVILLON LIEU-DIT LES FARGUETTES,STE GEMME,81190,637361.2,6331270.8,44.07764816876541,2.2179497775967123,PAVILLON,44.091392,2.211868,Route des Viguaries 81190 Sainte-Gemme,0.4,street,81249_0410,,Route des Viguaries,,81190,Sainte-Gemme,"81, Tarn, Occitanie",81249,,,
0352150X,PAVILLON CHEMIN DE TORIGNE,RENNES,35200,353441.0,6786456.8,48.08648167768639,-1.6571295347856714,PAVILLON,48.085786,-1.657634,Chemin de Torigné 35200 Rennes,0.75,street,35238_9260,,Chemin de Torigné,,35200,Rennes,"35, Ille-et-Vilaine, Bretagne",35238,,,
0341772S,PAVILLON 240 RUE MARIO ROUSTAN,LUNEL,34400,790829.3,6286418.0,43.67097134315798,4.125985399911263,PAVILLON,43.670929,4.126326,240 Rue Mario Roustan 34400 Lunel,0.76,housenumber,34145_0567_00240,240,Rue Mario Roustan,,34400,Lunel,"34, Hérault, Occitanie",34145,,,
0671385S,PAVILLON 3 PLACE DU GÉNÉRAL DE GAULLE,OBENHEIM,67230,1047241.8,6816892.3,48.359490063098185,7.690550722203636,PAVILLON,48.359606,7.690909,3 Place du Général de Gaulle 67230 Obenheim,0.79,housenumber,67338_0135_00003,3,Place du Général de Gaulle,,67230,Obenheim,"67, Bas-Rhin, Grand Est",67338,,,
0540431A,PAVILLON 14 RUE ERNEST BICHAT,FLAINVAL,54110,950344.2,6840765.1,48.61859986015483,6.397440397668284,PAVILLON,48.618598,6.397122,14 Rue Ernest Bichat 54110 Flainval,0.76,housenumber,54195_0020_00014,14,Rue Ernest Bichat,,54110,Flainval,"54, Meurthe-et-Moselle, Grand Est",54195,,,
