;numero_uai;adresse_uai;localite_acheminement_uai;code_postal_uai;x_L93_ref;y_L93_ref;x_WGS84_ref;y_WGS84_ref;latitude;longitude;result_housenumber;result_name;result_postcode;result_city;result_label;label
20;0170027M;RUE HENRI BARBUSSE BATBOULEVARD;LA ROCHELLE;17000;380819.3;6570169.5;-1.13777998241965;46.15606302712792;46.166422;-1.19693;;Rue Henri Basse;17000;La Rochelle;Rue Henri Basse 17000 La Rochelle;BATBOULEVARD
21;0570377A;37 PLACE DE L'EGLISE BATBOULEVARD;MITTERSHEIM;57930;989107.4;6869734.1;6.942299323191492;48.86267303558466;48.862591;6.942178;37;Rue de l’Eglise;57930;Mittersheim;37 Rue de l’Eglise 57930 Mittersheim;BATBOULEVARD
22;0352324L;1 AVENUE DU CLOS JOURY BATBOULEVARD;LE RHEU;35650;342921.3;6788709.4;-1.7999904726430676;48.10105018297311;48.101049;-1.800985;;Avenue du Clos Joury;35650;Le Rheu;Avenue du Clos Joury 35650 Le Rheu;BATBOULEVARD
23;0600586L;23 RUE DE L'EGLISE BATBOULEVARD;ROSOY;60140;663456.2;6915845.6;2.49727055039268;49.34112313208002;49.34111;2.497148;23;Rue de l'Eglise;60140;Rosoy;23 Rue de l'Eglise 60140 Rosoy;BATBOULEVARD
24;0340883A;2958  AVENUE DES MOULINS BATBOULEVARD;MONTPELLIER;34080;767021.0;6280149.9;3.830049410449457;43.61722907393701;43.616057;3.830161;2958;Avenue des Moulins;34080;Montpellier;2958 Avenue des Moulins 34080 Montpellier;BATBOULEVARD
25;0711188F;17 BIS RUE DU GÉNÉRAL LECLERC BATBOULEVARD;CHAGNY;71150;833408.4;6647453.2;4.7530371515202585;46.913938932827605;46.913939;4.753037;17bis;Avenue du General Leclerc;71150;Chagny;17bis Avenue du General Leclerc 71150 Chagny;BATBOULEVARD
26;0762506L;945 RUE DU GÉNÉRAL DE GAULLE BATBOULEVARD;ST JACQUES SUR DARNETAL;76160;569674.0;6928286.2;1.2035094276958411;49.44066446006658;49.440696;1.203236;945;Rue du Général de Gaulle;76160;Saint-Jacques-sur-Darnétal;945 Rue du Général de Gaulle 76160 Saint-Jacques-sur-Darnétal;BATBOULEVARD
27;0040044B;5 PLACE DES CORDELIERS BATBOULEVARD;DIGNE LES BAINS CEDEX;4004;959128.5;6338164.0;6.237060584123931;44.09466935826107;44.094664;6.237406;5;Place Des Cordeliers;4000;Digne-les-Bains;5 Place Des Cordeliers 04000 Digne-les-Bains;BATBOULEVARD
28;0851271V;2 RUE DU DOCTEUR PABOEUF BATBOULEVARD;LUCON;85400;380378.0;6603459.7;-1.166239737054564;46.45520925511292;46.455209;-1.16624;2;Rue du docteur pabeuf;85400;Luçon;2 Rue du docteur pabeuf 85400 Luçon;BATBOULEVARD
29;0511434G;1 ROUTE ROYALE BATBOULEVARD;STE MENEHOULD CEDEX;51801;839591.8;6889743.7;4.911309715179836;49.092321392861386;49.091876;4.912526;1;Route Royale;51800;Sainte-Menehould;1 Route Royale 51800 Sainte-Menehould;BATBOULEVARD
30;0221240D;ROUTE DE DINAN BATBOULEVARD;BEAUSSAIS SUR MER;22650;321342.7;6843103.0;-2.1367704862321;48.57725415322151;48.577901;-2.136828;;Rue de Dinan;22650;Beaussais-sur-Mer;Rue de Dinan 22650 Beaussais-sur-Mer;BATBOULEVARD
31;0623429R;RUE JEAN CLAUDE DELOBELLE BATBOULEVARD;DIVION;62460;665165.0;7041294.3;2.510070078331473;50.4681019610364;50.46788;2.510098;;Rue Jean Claude Delobelle;62460;Divion;Rue Jean Claude Delobelle 62460 Divion;BATBOULEVARD
32;0700765B;2 RUE DES ECOLES BATBOULEVARD;VILLERS LE SEC;70000;941743.7;6727021.1;6.217983888078447;47.599229638753;47.59923;6.217984;2;Rue des Ecoles;70000;Villers-le-Sec;2 Rue des Ecoles 70000 Villers-le-Sec;BATBOULEVARD
33;0772646H;2 COURS DE LA TAMISE BATBOULEVARD;SERRIS;77700;683721.5;6861884.7;2.778141588998246;48.856793777768765;48.856794;2.778141;2;Cours de la Tamise;77700;Serris;2 Cours de la Tamise 77700 Serris;BATBOULEVARD
34;0770150V;8 ROUTE DE CHÂTEAU LANDON BATBOULEVARD;MONDREVILLE;77570;670969.3;6782542.9;2.609690099838707;48.14260647152796;48.144106;2.653014;8;Route de Château-landon;77570;Mondreville;8 Route de Château-landon 77570 Mondreville;BATBOULEVARD
35;0490676U;PLACE FLANDRE ET DUNKERQUE BATBOULEVARD;VEZINS;49340;418576.6;6675603.4;-0.7132894135796402;47.12113112200888;47.1212;-0.7133;;Place  Flandres Dunkerque;49340;Vezins;Place  Flandres Dunkerque 49340 Vezins;BATBOULEVARD
36;0911234X;130 RUE DE CERCAY BATBOULEVARD;BRUNOY;91800;665030.5;6845445.7;2.5247563499508185;48.708203942176006;48.708204;2.524756;130;Rue de Cerçay;91800;Brunoy;130 Rue de Cerçay 91800 Brunoy;BATBOULEVARD
37;0911750H;RUE DU BARON DE NIVIÈRE BATBOULEVARD;VILLEBON SUR YVETTE;91140;645257.2;6844725.0;2.256137891915809;48.70034895517498;48.700349;2.25614;;Rue du Baron de Nivière;91140;Villebon-sur-Yvette;Rue du Baron de Nivière 91140 Villebon-sur-Yvette;BATBOULEVARD
38;0851645B;15 RUE DES DAMES - PUYBELLIARD BATBOULEVARD;CHANTONNAY;85110;392189.7;6630862.5;-1.0307643609704422;46.70713958628147;46.707139;-1.030764;15;Rue des dames;85110;Chantonnay;15 Rue des dames 85110 Chantonnay;BATBOULEVARD
39;0130860P;193 BOULEVARD CHAVE BATBOULEVARD;MARSEILLE;13005;894721.4;6247043.0;5.39850003828911;43.29593659023734;43.295944;5.398515;193;Boulevard chave;13005;Marseille;193 Boulevard chave 13005 Marseille;BATBOULEVARD
40;0280866P;16 RUE DES ECOLES BATBOULEVARD;BONNEVAL;28800;580349.6;6788353.8;1.3899496088266037;48.18456270289576;48.184117;1.390559;16;Rue des Ecoles;28800;Bonneval;16 Rue des Ecoles 28800 Bonneval;BATBOULEVARD
41;0160373U;1 IMPASSE MARCEL PAGNOL BATBOULEVARD;ROULLET ST ESTEPHE;16440;470157.2;6502694.9;0.0517204238326252;45.58514198774685;45.585074;0.05121;1;Impasse Marcel Pagnol;16440;Roullet-Saint-Estèphe;1 Impasse Marcel Pagnol 16440 Roullet-Saint-Estèphe;BATBOULEVARD
42;0400383Z;25 ROUTE DU CAP DE GASCOGNE BATBOULEVARD;EYRES MONCUBE;40500;413791.7;6297831.7;-0.5522563714998948;43.72156341127489;43.721563;-0.552256;25;Route du Cap de Gascogne;40500;Eyres-Moncube;25 Route du Cap de Gascogne 40500 Eyres-Moncube;BATBOULEVARD
43;0831559U;ROUTE D 560L BATBOULEVARD;ST MAXIMIN LA STE BAUME;83470;931281.8;6266176.4;5.8569990548037305;43.45702617700875;43.451627;5.864111;;Boulevard Rey;83470;Saint-Maximin-la-Sainte-Baume;Boulevard Rey 83470 Saint-Maximin-la-Sainte-Baume;BATBOULEVARD
44;0680762J;5 RUE DE LA FORÊT BATBOULEVARD;WILLER;68960;1024434.4;6729803.0;7.318834730160364;47.58873305790637;47.588785;7.318805;5;Rue de la Forêt;68960;Willer;5 Rue de la Forêt 68960 Willer;BATBOULEVARD
45;0701196V;1 ROUTE ROUTE DE CHAMBORNAY BATBOULEVARD;ETUZ;70150;921868.4;6698483.5;5.939534105399446;47.34951163389309;47.349512;5.939534;1;Route de Chambornay;70150;Étuz;1 Route de Chambornay 70150 Étuz;BATBOULEVARD
46;0130146N;RUE DES LAURIERS BATBOULEVARD;MIRAMAS;13140;861688.2;6279707.0;5.00200023888562;43.597969954273616;43.596211;5.000196;;Rue des Lauriers;13140;Miramas;Rue des Lauriers 13140 Miramas;BATBOULEVARD
47;0570051W;21 RUE DES VOSGES BATBOULEVARD;FREYMING MERLEBACH CEDEX;57804;978437.1;6901613.0;6.818030447098487;49.15369307566019;49.153165;6.81882;21;Rue des Vosges;57800;Freyming-Merlebach;21 Rue des Vosges 57800 Freyming-Merlebach;BATBOULEVARD
48;0260631V;PLACE MONTCHOREL BATBOULEVARD;ROMANS SUR ISERE;26100;861275.3;6440412.0;5.048500204949255;45.04412711173123;45.044164;5.048626;;Rue Montchorel;26100;Romans-sur-Isère;Rue Montchorel 26100 Romans-sur-Isère;BATBOULEVARD
49;0721013K;25 RUE HAUTE BATBOULEVARD;JUIGNE SUR SARTHE;72300;454235.1;6756237.9;-0.2876348444196345;47.86048276529756;47.860483;-0.287635;25;Rue Haute;72300;Juigné-sur-Sarthe;25 Rue Haute 72300 Juigné-sur-Sarthe;BATBOULEVARD
50;0691225G;160 AVENUE SAINT EXUPÉRY BATBOULEVARD;BRON;69500;848492.0;6515875.6;4.909366865752929;45.72630779018804;45.726308;4.909367;160;Avenue Saint-Exupéry;69500;Bron;160 Avenue Saint-Exupéry 69500 Bron;BATBOULEVARD
51;0770939C;12 AVENUE DU 8 MAI 1945 BATBOULEVARD;MONTEREAU FAULT YONNE;77130;695955.5;6808570.8;2.945380298354958;48.37742624453432;48.377426;2.94538;12;Rue du 8 Mai 1945;77130;Montereau-Fault-Yonne;12 Rue du 8 Mai 1945 77130 Montereau-Fault-Yonne;BATBOULEVARD
52;0890300T;41 ROUTE RN 151 BATBOULEVARD;GY L EVEQUE;89580;741007.2;6735641.9;3.546958485332948;47.71988987777906;47.71989;3.546959;41;Route Nationale;89580;Gy-l'Évêque;41 Route Nationale 89580 Gy-l'Évêque;BATBOULEVARD
53;0891166J;32 RUE NORMIER SIMON BATBOULEVARD;RAVIERES;89390;792018.5;6737986.4;4.227759693645572;47.73583101211969;47.735831;4.22776;32;Rue Normier Simon;89390;Ravières;32 Rue Normier Simon 89390 Ravières;BATBOULEVARD
54;0290053A;6 PLACE PIERRE CLOAREC BATBOULEVARD;PLEYBEN;29190;183201.2;6814950.0;-3.968680599394304;48.22952261577184;48.229641;-3.970754;6;Rue Pierre Cloarec;29190;Pleyben;6 Rue Pierre Cloarec 29190 Pleyben;BATBOULEVARD
55;0421448W;5 RUE DES ÉCOLES BATBOULEVARD;LES SALLES;42440;761468.3;6527498.7;3.7920098062605705;45.844364073848666;45.845818;3.792363;5;Rue des Ecoles;42440;Les Salles;5 Rue des Ecoles 42440 Les Salles;BATBOULEVARD
56;0280523S;3 RUE DE L'EGLISE BATBOULEVARD;BAILLEAU LE PIN;28120;576405.5;6808584.4;1.3311394924688924;48.36581023945087;48.365338;1.331051;3;Rue de l'Eglise;28120;Bailleau-le-Pin;3 Rue de l'Eglise 28120 Bailleau-le-Pin;BATBOULEVARD
57;0381806G;26 RUE PROSPER MERIMEE BATBOULEVARD;GRENOBLE;38100;914135.8;6456422.1;5.726480556391532;45.17382869435962;45.173863;5.726328;26;Rue Prosper Merimée;38100;Grenoble;26 Rue Prosper Merimée 38100 Grenoble;BATBOULEVARD
58;0330058J;43 RUE FORT BAYARD BATBOULEVARD;BRANNE;33420;448373.9;6418990.1;-0.1841351276871816;44.82440507553535;44.824405;-0.184135;43;Rue du Fort Bayard;33420;Branne;43 Rue du Fort Bayard 33420 Branne;BATBOULEVARD
59;0380092U;21 BOULEVARD EDGAR KOFLER BATBOULEVARD;VOIRON CEDEX;38501;903493.8;6476823.9;5.599630597517303;45.36065971064137;45.361574;5.598834;;Boulevard Edgar Kofler;38500;Voiron;Boulevard Edgar Kofler 38500 Voiron;BATBOULEVARD
